Match_ID,VainqueurID,NbTours,TempsTotalMatchMS
1,NUL,30,324
2,J2,30,305
3,J2,18,209
4,J2,14,136
5,J2,26,236
6,J1,15,117
7,J2,20,239
8,J1,27,649
9,J2,20,325
10,J2,12,72
11,J1,29,316
12,J2,18,150
13,J2,22,147
14,J2,22,237
15,J2,22,231
16,J1,17,121
17,J1,30,203
18,J1,23,149
19,J1,29,238
20,J2,18,191
21,J1,23,249
22,J2,16,176
23,J2,28,375
24,J1,23,283
25,J1,15,101
26,J2,20,279
27,J1,21,107
28,J1,29,355
29,J1,25,369
30,J1,30,219
31,J2,22,390
32,J2,28,264
33,J2,18,172
34,J1,23,333
35,J1,11,82
36,J1,15,131
37,J1,23,178
38,J2,16,136
39,J1,25,327
40,J2,30,260
41,J1,17,183
42,J2,18,131
43,J1,27,298
44,J2,30,301
45,J1,17,312
46,J1,30,157
47,J1,25,366
48,J2,30,413
49,J2,26,243
50,J2,30,423
51,J2,26,311
52,J1,17,238
53,J1,25,499
54,J2,30,372
55,J2,16,168
56,J2,12,62
57,J2,26,247
58,J1,11,102
59,J2,10,62
60,J2,16,94
61,J1,17,165
62,J1,23,201
63,J1,27,522
64,J2,16,76
65,J2,24,276
66,J1,17,121
67,J1,15,95
68,J2,12,130
69,J2,22,171
70,J1,21,211
71,J2,18,198
72,J1,13,164
73,J1,25,193
74,J2,18,123
75,J2,16,142
76,J1,25,318
77,J1,23,140
78,J1,27,296
79,J1,21,225
80,J1,27,171
81,J2,16,313
82,J2,18,241
83,J2,14,127
84,J1,13,94
85,J1,11,30
86,J1,30,298
87,J1,15,137
88,J1,23,150
89,J1,23,319
90,J2,16,97
91,J1,30,374
92,J1,11,59
93,J1,11,100
94,J1,30,287
95,J1,30,143
96,J1,13,132
97,J2,26,294
98,J1,27,208
99,NUL,30,310
100,J1,9,41
