Scenario_Type,Match_ID,IA_J1,IA_J2,Vainqueur,NbTours,TempsTotalPartieMS,TempsMoyenCoup_J1,TempsMoyenCoup_J2
FACILE_VS_DIFF_FAIBLE_CONSTANT,1,IAFACILE,IADIFFICILE,J2,14,193,26.275,1.333
FACILE_VS_DIFF_FAIBLE_CONSTANT,2,IAFACILE,IADIFFICILE,J1,15,1110,131.388,8.470
FACILE_VS_DIFF_FAIBLE_CONSTANT,3,IAFACILE,IADIFFICILE,J2,14,628,84.370,5.401
FACILE_VS_DIFF_FAIBLE_CONSTANT,4,IAFACILE,IADIFFICILE,J2,22,468,37.405,5.176
FACILE_VS_DIFF_FAIBLE_CONSTANT,5,IAFACILE,IADIFFICILE,J1,21,648,54.342,5.043
FACILE_VS_DIFF_FAIBLE_CONSTANT,6,IAFACILE,IADIFFICILE,J2,10,390,74.280,3.723
FACILE_VS_DIFF_FAIBLE_CONSTANT,7,IAFACILE,IADIFFICILE,J2,16,1101,130.439,7.151
FACILE_VS_DIFF_FAIBLE_CONSTANT,8,IAFACILE,IADIFFICILE,J2,14,617,80.317,7.830
FACILE_VS_DIFF_FAIBLE_CONSTANT,9,IAFACILE,IADIFFICILE,J2,18,977,99.939,8.646
FACILE_VS_DIFF_FAIBLE_CONSTANT,10,IAFACILE,IADIFFICILE,J1,15,1017,122.732,5.030
FACILE_VS_DIFF_FAIBLE_CONSTANT,11,IAFACILE,IADIFFICILE,J2,22,1016,86.272,6.081
FACILE_VS_DIFF_FAIBLE_CONSTANT,12,IAFACILE,IADIFFICILE,J1,30,478,25.326,6.578
FACILE_VS_DIFF_FAIBLE_CONSTANT,13,IAFACILE,IADIFFICILE,J2,14,555,74.223,5.109
FACILE_VS_DIFF_FAIBLE_CONSTANT,14,IAFACILE,IADIFFICILE,J2,30,1268,71.155,13.376
FACILE_VS_DIFF_FAIBLE_CONSTANT,15,IAFACILE,IADIFFICILE,J2,16,625,73.352,4.833
FACILE_VS_DIFF_FAIBLE_CONSTANT,16,IAFACILE,IADIFFICILE,J2,14,570,76.547,4.880
FACILE_VS_DIFF_FAIBLE_CONSTANT,17,IAFACILE,IADIFFICILE,J1,25,678,47.969,4.544
FACILE_VS_DIFF_FAIBLE_CONSTANT,18,IAFACILE,IADIFFICILE,J2,20,1846,173.664,10.964
FACILE_VS_DIFF_FAIBLE_CONSTANT,19,IAFACILE,IADIFFICILE,J1,13,1360,188.224,7.082
FACILE_VS_DIFF_FAIBLE_CONSTANT,20,IAFACILE,IADIFFICILE,J2,24,1015,79.142,5.451
FACILE_VS_DIFF_FAIBLE_CONSTANT,21,IAFACILE,IADIFFICILE,J2,18,965,99.170,8.076
FACILE_VS_DIFF_FAIBLE_CONSTANT,22,IAFACILE,IADIFFICILE,J2,22,1018,86.512,6.029
FACILE_VS_DIFF_FAIBLE_CONSTANT,23,IAFACILE,IADIFFICILE,J1,15,833,98.782,6.170
FACILE_VS_DIFF_FAIBLE_CONSTANT,24,IAFACILE,IADIFFICILE,J2,24,734,56.036,5.144
FACILE_VS_DIFF_FAIBLE_CONSTANT,25,IAFACILE,IADIFFICILE,J1,19,669,63.400,3.926
FACILE_VS_DIFF_FAIBLE_CONSTANT,26,IAFACILE,IADIFFICILE,J2,26,1075,76.474,6.210
FACILE_VS_DIFF_FAIBLE_CONSTANT,27,IAFACILE,IADIFFICILE,J1,11,278,43.501,3.550
FACILE_VS_DIFF_FAIBLE_CONSTANT,28,IAFACILE,IADIFFICILE,J2,10,680,127.806,8.323
FACILE_VS_DIFF_FAIBLE_CONSTANT,29,IAFACILE,IADIFFICILE,J2,16,695,80.899,6.008
FACILE_VS_DIFF_FAIBLE_CONSTANT,30,IAFACILE,IADIFFICILE,J2,14,735,99.494,5.556
FACILE_VS_DIFF_FAIBLE_CONSTANT,31,IAFACILE,IADIFFICILE,J2,16,722,82.645,7.579
FACILE_VS_DIFF_FAIBLE_CONSTANT,32,IAFACILE,IADIFFICILE,J2,16,603,72.637,2.732
FACILE_VS_DIFF_FAIBLE_CONSTANT,33,IAFACILE,IADIFFICILE,J1,17,648,68.954,3.399
FACILE_VS_DIFF_FAIBLE_CONSTANT,34,IAFACILE,IADIFFICILE,J2,18,896,93.650,5.906
FACILE_VS_DIFF_FAIBLE_CONSTANT,35,IAFACILE,IADIFFICILE,J1,15,933,108.382,9.390
FACILE_VS_DIFF_FAIBLE_CONSTANT,36,IAFACILE,IADIFFICILE,J2,16,661,77.006,5.669
FACILE_VS_DIFF_FAIBLE_CONSTANT,37,IAFACILE,IADIFFICILE,J1,25,1321,90.436,12.089
FACILE_VS_DIFF_FAIBLE_CONSTANT,38,IAFACILE,IADIFFICILE,J2,14,472,62.905,4.516
FACILE_VS_DIFF_FAIBLE_CONSTANT,39,IAFACILE,IADIFFICILE,J2,10,356,68.185,3.006
FACILE_VS_DIFF_FAIBLE_CONSTANT,40,IAFACILE,IADIFFICILE,J1,17,976,101.823,7.417
FACILE_VS_DIFF_FAIBLE_CONSTANT,41,IAFACILE,IADIFFICILE,J2,18,765,78.848,6.188
FACILE_VS_DIFF_FAIBLE_CONSTANT,42,IAFACILE,IADIFFICILE,J2,16,613,73.636,2.950
FACILE_VS_DIFF_FAIBLE_CONSTANT,43,IAFACILE,IADIFFICILE,J1,15,1126,134.095,7.620
FACILE_VS_DIFF_FAIBLE_CONSTANT,44,IAFACILE,IADIFFICILE,J2,10,257,48.736,2.809
FACILE_VS_DIFF_FAIBLE_CONSTANT,45,IAFACILE,IADIFFICILE,J2,12,461,72.120,4.798
FACILE_VS_DIFF_FAIBLE_CONSTANT,46,IAFACILE,IADIFFICILE,J2,14,1078,145.307,8.731
