Scenario_Type,Match_ID,IA_J1,IA_J2,Vainqueur,NbTours,TempsTotalPartieMS,TempsMoyenCoup_J1,TempsMoyenCoup_J2
FACILE_VS_DIFF_FAIBLE_SWAP,1,IAFACILE,IADIFFICILE,J2,22,672,53.183,7.849
FACILE_VS_DIFF_FAIBLE_SWAP,2,IAFACILE,IADIFFICILE,J2,16,1034,121.696,7.529
FACILE_VS_DIFF_FAIBLE_SWAP,3,IAFACILE,IADIFFICILE,J2,16,1128,135.557,5.380
FACILE_VS_DIFF_FAIBLE_SWAP,4,IAFACILE,IADIFFICILE,J2,10,222,41.419,3.069
FACILE_VS_DIFF_FAIBLE_SWAP,5,IAFACILE,IADIFFICILE,J2,12,397,62.664,3.432
FACILE_VS_DIFF_FAIBLE_SWAP,6,IAFACILE,IADIFFICILE,J2,20,809,75.284,5.548
FACILE_VS_DIFF_FAIBLE_SWAP,7,IAFACILE,IADIFFICILE,J2,16,505,60.150,2.999
FACILE_VS_DIFF_FAIBLE_SWAP,8,IAFACILE,IADIFFICILE,J2,18,872,88.206,8.696
FACILE_VS_DIFF_FAIBLE_SWAP,9,IAFACILE,IADIFFICILE,J1,19,1038,99.622,4.586
FACILE_VS_DIFF_FAIBLE_SWAP,10,IAFACILE,IADIFFICILE,J1,15,471,55.652,3.713
FACILE_VS_DIFF_FAIBLE_SWAP,11,IAFACILE,IADIFFICILE,J2,22,863,73.922,4.491
FACILE_VS_DIFF_FAIBLE_SWAP,12,IAFACILE,IADIFFICILE,J2,14,269,35.847,2.644
FACILE_VS_DIFF_FAIBLE_SWAP,13,IAFACILE,IADIFFICILE,J2,14,448,60.237,3.747
FACILE_VS_DIFF_FAIBLE_SWAP,14,IAFACILE,IADIFFICILE,J2,16,608,71.059,4.913
FACILE_VS_DIFF_FAIBLE_SWAP,15,IAFACILE,IADIFFICILE,J2,18,734,75.203,6.336
FACILE_VS_DIFF_FAIBLE_SWAP,16,IAFACILE,IADIFFICILE,J2,24,458,35.495,2.655
FACILE_VS_DIFF_FAIBLE_SWAP,17,IAFACILE,IADIFFICILE,J2,24,926,72.057,5.072
FACILE_VS_DIFF_FAIBLE_SWAP,18,IAFACILE,IADIFFICILE,J2,18,1090,114.375,6.734
FACILE_VS_DIFF_FAIBLE_SWAP,19,IAFACILE,IADIFFICILE,J2,10,192,36.459,1.868
FACILE_VS_DIFF_FAIBLE_SWAP,20,IAFACILE,IADIFFICILE,J2,20,1049,95.195,9.696
FACILE_VS_DIFF_FAIBLE_SWAP,21,IAFACILE,IADIFFICILE,J1,27,2191,148.742,8.317
FACILE_VS_DIFF_FAIBLE_SWAP,22,IAFACILE,IADIFFICILE,J2,14,317,42.247,2.970
FACILE_VS_DIFF_FAIBLE_SWAP,23,IAFACILE,IADIFFICILE,J2,20,769,72.484,4.425
FACILE_VS_DIFF_FAIBLE_SWAP,24,IAFACILE,IADIFFICILE,J2,14,1179,162.794,5.487
FACILE_VS_DIFF_FAIBLE_SWAP,25,IAFACILE,IADIFFICILE,J2,14,542,73.432,4.060
