Scenario_Type,Match_ID,IA_J1,IA_J2,Vainqueur,NbTours,TempsTotalPartieMS,TempsMoyenCoup_J1,TempsMoyenCoup_J2
DIFF_P2_VS_MOY_P4_CONSTANT,1,IADIFFICILE,IAMOYENNE,J2,26,2149,0.523,164.813
DIFF_P2_VS_MOY_P4_CONSTANT,2,IADIFFICILE,IAMOYENNE,J2,12,1175,0.404,195.436
DIFF_P2_VS_MOY_P4_CONSTANT,3,IADIFFICILE,IAMOYENNE,J2,24,2635,0.632,218.979
DIFF_P2_VS_MOY_P4_CONSTANT,4,IADIFFICILE,IAMOYENNE,J1,30,1414,0.392,93.894
DIFF_P2_VS_MOY_P4_CONSTANT,5,IADIFFICILE,IAMOYENNE,J1,30,6007,0.409,400.091
DIFF_P2_VS_MOY_P4_CONSTANT,6,IADIFFICILE,IAMOYENNE,J1,30,2265,0.507,150.519
DIFF_P2_VS_MOY_P4_CONSTANT,7,IADIFFICILE,IAMOYENNE,J2,30,3117,0.406,207.418
DIFF_P2_VS_MOY_P4_CONSTANT,8,IADIFFICILE,IAMOYENNE,J2,16,1388,0.474,173.120
DIFF_P2_VS_MOY_P4_CONSTANT,9,IADIFFICILE,IAMOYENNE,J2,16,1548,0.785,192.743
DIFF_P2_VS_MOY_P4_CONSTANT,10,IADIFFICILE,IAMOYENNE,J2,30,3440,0.673,228.647
DIFF_P2_VS_MOY_P4_CONSTANT,11,IADIFFICILE,IAMOYENNE,J1,30,1082,0.547,71.581
DIFF_P2_VS_MOY_P4_CONSTANT,12,IADIFFICILE,IAMOYENNE,J2,30,617,0.294,40.885
DIFF_P2_VS_MOY_P4_CONSTANT,13,IADIFFICILE,IAMOYENNE,J1,30,8073,0.629,537.586
DIFF_P2_VS_MOY_P4_CONSTANT,14,IADIFFICILE,IAMOYENNE,J2,22,1692,0.546,153.246
DIFF_P2_VS_MOY_P4_CONSTANT,15,IADIFFICILE,IAMOYENNE,J2,30,1779,0.604,118.018
DIFF_P2_VS_MOY_P4_CONSTANT,16,IADIFFICILE,IAMOYENNE,J1,21,2807,0.693,279.988
DIFF_P2_VS_MOY_P4_CONSTANT,17,IADIFFICILE,IAMOYENNE,J2,20,2278,0.639,227.216
DIFF_P2_VS_MOY_P4_CONSTANT,18,IADIFFICILE,IAMOYENNE,J1,30,3254,0.729,216.211
DIFF_P2_VS_MOY_P4_CONSTANT,19,IADIFFICILE,IAMOYENNE,J1,27,3493,0.657,268.015
DIFF_P2_VS_MOY_P4_CONSTANT,20,IADIFFICILE,IAMOYENNE,J2,16,586,0.240,73.080
DIFF_P2_VS_MOY_P4_CONSTANT,21,IADIFFICILE,IAMOYENNE,J1,25,5590,0.553,465.281
DIFF_P2_VS_MOY_P4_CONSTANT,22,IADIFFICILE,IAMOYENNE,J1,23,2180,0.438,197.675
DIFF_P2_VS_MOY_P4_CONSTANT,23,IADIFFICILE,IAMOYENNE,J2,30,2326,0.631,154.451
DIFF_P2_VS_MOY_P4_CONSTANT,24,IADIFFICILE,IAMOYENNE,J1,21,4622,0.753,461.417
DIFF_P2_VS_MOY_P4_CONSTANT,25,IADIFFICILE,IAMOYENNE,NUL,30,3011,0.598,200.155
