=== Recapitulatif Tournoi IA ===
Date: 2026-05-10 13:32:39
IA Joueur 1: IADIFFICILE
IA Joueur 2: IAMOYENNE
Profondeur J1: 3 | Profondeur J2: 4
Nombre de combats: 100/100
Tours max par combat: 30

Victoires J1: 56
Defaites J1: 44
Victoires J2: 44
Defaites J2: 56
Matchs nuls: 0
Temps total tournoi: 244,019 s
Temps moyen coup J1 (IADIFFICILE): 8,725 ms
Temps moyen coup J2 (IAMOYENNE): 207,407 ms
Temps moyen coup global: 106,078 ms

=== Details par combat ===
Combat 1 | issue=J1 | matchup=Archère vs Soigneur | profondeurJ1=3 profondeurJ2=4 | tours=25 | duree=1,407 s | avgCoupJ1=9,908 | avgCoupJ2=104,951
Combat 2 | issue=J2 | matchup=Chevalier vs Soigneur | profondeurJ1=3 profondeurJ2=4 | tours=16 | duree=2,971 s | avgCoupJ1=5,403 | avgCoupJ2=365,757
Combat 3 | issue=J2 | matchup=Chevalier vs Archère | profondeurJ1=3 profondeurJ2=4 | tours=30 | duree=2,777 s | avgCoupJ1=12,500 | avgCoupJ2=172,328
Combat 4 | issue=J2 | matchup=Archère vs Soigneur | profondeurJ1=3 profondeurJ2=4 | tours=30 | duree=3,731 s | avgCoupJ1=14,302 | avgCoupJ2=234,330
Combat 5 | issue=J1 | matchup=Archère vs Archère | profondeurJ1=3 profondeurJ2=4 | tours=25 | duree=1,489 s | avgCoupJ1=6,680 | avgCoupJ2=116,709
Combat 6 | issue=J1 | matchup=Archère vs Chevalier | profondeurJ1=3 profondeurJ2=4 | tours=15 | duree=513 ms | avgCoupJ1=2,153 | avgCoupJ2=70,675
Combat 7 | issue=J1 | matchup=Soigneur vs Soigneur | profondeurJ1=3 profondeurJ2=4 | tours=30 | duree=2,494 s | avgCoupJ1=8,601 | avgCoupJ2=157,517
Combat 8 | issue=J1 | matchup=Archère vs Archère | profondeurJ1=3 profondeurJ2=4 | tours=23 | duree=1,622 s | avgCoupJ1=4,132 | avgCoupJ2=142,867
Combat 9 | issue=J2 | matchup=Chevalier vs Soigneur | profondeurJ1=3 profondeurJ2=4 | tours=22 | duree=3,881 s | avgCoupJ1=8,323 | avgCoupJ2=344,411
Combat 10 | issue=J1 | matchup=Archère vs Archère | profondeurJ1=3 profondeurJ2=4 | tours=17 | duree=1,152 s | avgCoupJ1=5,701 | avgCoupJ2=137,442
Combat 11 | issue=J2 | matchup=Chevalier vs Archère | profondeurJ1=3 profondeurJ2=4 | tours=14 | duree=2,737 s | avgCoupJ1=7,704 | avgCoupJ2=383,256
Combat 12 | issue=J2 | matchup=Chevalier vs Archère | profondeurJ1=3 profondeurJ2=4 | tours=14 | duree=4,114 s | avgCoupJ1=9,834 | avgCoupJ2=577,751
Combat 13 | issue=J1 | matchup=Chevalier vs Chevalier | profondeurJ1=3 profondeurJ2=4 | tours=25 | duree=1,635 s | avgCoupJ1=6,741 | avgCoupJ2=128,899
Combat 14 | issue=J1 | matchup=Soigneur vs Archère | profondeurJ1=3 profondeurJ2=4 | tours=17 | duree=3,542 s | avgCoupJ1=7,026 | avgCoupJ2=434,721
Combat 15 | issue=J1 | matchup=Chevalier vs Soigneur | profondeurJ1=3 profondeurJ2=4 | tours=21 | duree=2,194 s | avgCoupJ1=9,502 | avgCoupJ2=208,802
Combat 16 | issue=J1 | matchup=Soigneur vs Soigneur | profondeurJ1=3 profondeurJ2=4 | tours=27 | duree=1,535 s | avgCoupJ1=6,848 | avgCoupJ2=110,627
Combat 17 | issue=J1 | matchup=Chevalier vs Archère | profondeurJ1=3 profondeurJ2=4 | tours=23 | duree=1,862 s | avgCoupJ1=6,529 | avgCoupJ2=162,092
Combat 18 | issue=J1 | matchup=Soigneur vs Soigneur | profondeurJ1=3 profondeurJ2=4 | tours=29 | duree=2,785 s | avgCoupJ1=6,579 | avgCoupJ2=191,785
Combat 19 | issue=J2 | matchup=Chevalier vs Archère | profondeurJ1=3 profondeurJ2=4 | tours=12 | duree=869 ms | avgCoupJ1=5,347 | avgCoupJ2=139,463
Combat 20 | issue=J2 | matchup=Chevalier vs Chevalier | profondeurJ1=3 profondeurJ2=4 | tours=30 | duree=2,448 s | avgCoupJ1=7,084 | avgCoupJ2=156,089
Combat 21 | issue=J1 | matchup=Soigneur vs Archère | profondeurJ1=3 profondeurJ2=4 | tours=23 | duree=2,598 s | avgCoupJ1=5,964 | avgCoupJ2=229,620
Combat 22 | issue=J1 | matchup=Archère vs Archère | profondeurJ1=3 profondeurJ2=4 | tours=30 | duree=2,830 s | avgCoupJ1=18,493 | avgCoupJ2=170,152
Combat 23 | issue=J2 | matchup=Chevalier vs Archère | profondeurJ1=3 profondeurJ2=4 | tours=16 | duree=1,090 s | avgCoupJ1=3,145 | avgCoupJ2=133,045
Combat 24 | issue=J1 | matchup=Soigneur vs Chevalier | profondeurJ1=3 profondeurJ2=4 | tours=30 | duree=2,600 s | avgCoupJ1=7,275 | avgCoupJ2=165,961
Combat 25 | issue=J1 | matchup=Chevalier vs Chevalier | profondeurJ1=3 profondeurJ2=4 | tours=29 | duree=4,409 s | avgCoupJ1=9,359 | avgCoupJ2=304,844
Combat 26 | issue=J2 | matchup=Chevalier vs Archère | profondeurJ1=3 profondeurJ2=4 | tours=14 | duree=817 ms | avgCoupJ1=4,829 | avgCoupJ2=111,900
Combat 27 | issue=J1 | matchup=Soigneur vs Chevalier | profondeurJ1=3 profondeurJ2=4 | tours=19 | duree=5,243 s | avgCoupJ1=10,154 | avgCoupJ2=571,186
Combat 28 | issue=J1 | matchup=Archère vs Chevalier | profondeurJ1=3 profondeurJ2=4 | tours=15 | duree=3,707 s | avgCoupJ1=11,322 | avgCoupJ2=516,564
Combat 29 | issue=J2 | matchup=Chevalier vs Archère | profondeurJ1=3 profondeurJ2=4 | tours=30 | duree=1,611 s | avgCoupJ1=13,675 | avgCoupJ2=93,705
Combat 30 | issue=J1 | matchup=Soigneur vs Chevalier | profondeurJ1=3 profondeurJ2=4 | tours=19 | duree=3,021 s | avgCoupJ1=8,526 | avgCoupJ2=326,167
Combat 31 | issue=J1 | matchup=Chevalier vs Chevalier | profondeurJ1=3 profondeurJ2=4 | tours=11 | duree=1,277 s | avgCoupJ1=9,092 | avgCoupJ2=244,399
Combat 32 | issue=J1 | matchup=Chevalier vs Chevalier | profondeurJ1=3 profondeurJ2=4 | tours=15 | duree=1,378 s | avgCoupJ1=7,798 | avgCoupJ2=187,918
Combat 33 | issue=J1 | matchup=Soigneur vs Chevalier | profondeurJ1=3 profondeurJ2=4 | tours=21 | duree=2,597 s | avgCoupJ1=9,444 | avgCoupJ2=249,289
Combat 34 | issue=J1 | matchup=Soigneur vs Archère | profondeurJ1=3 profondeurJ2=4 | tours=23 | duree=1,903 s | avgCoupJ1=8,291 | avgCoupJ2=163,944
Combat 35 | issue=J1 | matchup=Soigneur vs Chevalier | profondeurJ1=3 profondeurJ2=4 | tours=17 | duree=2,169 s | avgCoupJ1=6,905 | avgCoupJ2=263,300
Combat 36 | issue=J2 | matchup=Chevalier vs Soigneur | profondeurJ1=3 profondeurJ2=4 | tours=24 | duree=1,512 s | avgCoupJ1=7,839 | avgCoupJ2=118,129
Combat 37 | issue=J1 | matchup=Archère vs Soigneur | profondeurJ1=3 profondeurJ2=4 | tours=29 | duree=2,069 s | avgCoupJ1=6,356 | avgCoupJ2=140,963
Combat 38 | issue=J1 | matchup=Chevalier vs Soigneur | profondeurJ1=3 profondeurJ2=4 | tours=27 | duree=1,797 s | avgCoupJ1=7,916 | avgCoupJ2=129,649
Combat 39 | issue=J2 | matchup=Soigneur vs Soigneur | profondeurJ1=3 profondeurJ2=4 | tours=30 | duree=2,432 s | avgCoupJ1=8,018 | avgCoupJ2=154,094
Combat 40 | issue=J2 | matchup=Soigneur vs Chevalier | profondeurJ1=3 profondeurJ2=4 | tours=20 | duree=1,431 s | avgCoupJ1=5,781 | avgCoupJ2=137,246
Combat 41 | issue=J1 | matchup=Soigneur vs Soigneur | profondeurJ1=3 profondeurJ2=4 | tours=27 | duree=3,428 s | avgCoupJ1=7,881 | avgCoupJ2=255,127
Combat 42 | issue=J2 | matchup=Archère vs Archère | profondeurJ1=3 profondeurJ2=4 | tours=18 | duree=628 ms | avgCoupJ1=2,537 | avgCoupJ2=67,230
