=== Recapitulatif Tournoi IA ===
Date: 2026-05-09 03:15:16
IA Joueur 1: IADIFFICILE
IA Joueur 2: IAMOYENNE
Nombre de combats: 30
Tours max par combat: 50

Victoires J1: 18
Defaites J1: 12
Victoires J2: 12
Defaites J2: 18
Matchs nuls: 0
Temps total tournoi: 745,365 s
Temps moyen coup J1 (IADIFFICILE): 1468,227 ms
Temps moyen coup J2 (IAMOYENNE): 160,286 ms
Temps moyen coup global: 824,384 ms

=== Details par combat ===
Combat 1 | issue=J1 | matchup=Soigneur vs Soigneur | tours=39 | duree=29,491 s | avgCoupJ1=1400,418 ms | avgCoupJ2=76,321 ms
Combat 2 | issue=J2 | matchup=Chevalier vs Chevalier | tours=16 | duree=16,773 s | avgCoupJ1=1499,433 ms | avgCoupJ2=596,897 ms
Combat 3 | issue=J2 | matchup=Archère vs Soigneur | tours=34 | duree=25,221 s | avgCoupJ1=1356,282 ms | avgCoupJ2=127,088 ms
Combat 4 | issue=J2 | matchup=Soigneur vs Soigneur | tours=50 | duree=43,714 s | avgCoupJ1=1499,491 ms | avgCoupJ2=248,723 ms
Combat 5 | issue=J1 | matchup=Soigneur vs Archère | tours=50 | duree=39,511 s | avgCoupJ1=1499,524 ms | avgCoupJ2=80,737 ms
Combat 6 | issue=J1 | matchup=Soigneur vs Soigneur | tours=25 | duree=20,956 s | avgCoupJ1=1499,517 ms | avgCoupJ2=121,576 ms
Combat 7 | issue=J1 | matchup=Archère vs Archère | tours=19 | duree=18,924 s | avgCoupJ1=1499,427 ms | avgCoupJ2=436,473 ms
Combat 8 | issue=J1 | matchup=Archère vs Soigneur | tours=23 | duree=17,434 s | avgCoupJ1=1316,499 ms | avgCoupJ2=148,516 ms
Combat 9 | issue=J1 | matchup=Soigneur vs Soigneur | tours=29 | duree=28,366 s | avgCoupJ1=1499,425 ms | avgCoupJ2=419,395 ms
Combat 10 | issue=J1 | matchup=Soigneur vs Archère | tours=50 | duree=38,607 s | avgCoupJ1=1499,437 ms | avgCoupJ2=44,723 ms
Combat 11 | issue=J1 | matchup=Soigneur vs Archère | tours=50 | duree=39,374 s | avgCoupJ1=1499,474 ms | avgCoupJ2=75,363 ms
Combat 12 | issue=J1 | matchup=Chevalier vs Soigneur | tours=35 | duree=30,145 s | avgCoupJ1=1417,147 ms | avgCoupJ2=272,548 ms
Combat 13 | issue=J2 | matchup=Archère vs Soigneur | tours=30 | duree=23,769 s | avgCoupJ1=1499,435 ms | avgCoupJ2=84,969 ms
Combat 14 | issue=J1 | matchup=Archère vs Archère | tours=21 | duree=16,348 s | avgCoupJ1=1430,648 ms | avgCoupJ2=60,904 ms
Combat 15 | issue=J1 | matchup=Soigneur vs Soigneur | tours=50 | duree=40,997 s | avgCoupJ1=1499,453 ms | avgCoupJ2=140,286 ms
Combat 16 | issue=J1 | matchup=Chevalier vs Soigneur | tours=29 | duree=23,035 s | avgCoupJ1=1399,506 ms | avgCoupJ2=145,579 ms
Combat 17 | issue=J2 | matchup=Soigneur vs Chevalier | tours=36 | duree=28,136 s | avgCoupJ1=1419,046 ms | avgCoupJ2=143,921 ms
Combat 18 | issue=J1 | matchup=Archère vs Chevalier | tours=19 | duree=16,591 s | avgCoupJ1=1499,627 ms | avgCoupJ2=177,052 ms
Combat 19 | issue=J2 | matchup=Archère vs Archère | tours=50 | duree=39,603 s | avgCoupJ1=1499,516 ms | avgCoupJ2=84,480 ms
Combat 20 | issue=J1 | matchup=Archère vs Soigneur | tours=15 | duree=13,798 s | avgCoupJ1=1499,733 ms | avgCoupJ2=257,045 ms
Combat 21 | issue=J1 | matchup=Archère vs Soigneur | tours=27 | duree=23,094 s | avgCoupJ1=1454,711 ms | avgCoupJ2=209,671 ms
Combat 22 | issue=J2 | matchup=Archère vs Archère | tours=14 | duree=11,435 s | avgCoupJ1=1499,592 ms | avgCoupJ2=133,815 ms
Combat 23 | issue=J1 | matchup=Soigneur vs Chevalier | tours=21 | duree=18,881 s | avgCoupJ1=1499,558 ms | avgCoupJ2=238,443 ms
Combat 24 | issue=J1 | matchup=Archère vs Soigneur | tours=23 | duree=18,575 s | avgCoupJ1=1390,081 ms | avgCoupJ2=172,044 ms
Combat 25 | issue=J2 | matchup=Soigneur vs Soigneur | tours=22 | duree=16,648 s | avgCoupJ1=1443,181 ms | avgCoupJ2=70,107 ms
Combat 26 | issue=J2 | matchup=Chevalier vs Soigneur | tours=18 | duree=18,627 s | avgCoupJ1=1499,560 ms | avgCoupJ2=569,958 ms
Combat 27 | issue=J1 | matchup=Chevalier vs Chevalier | tours=23 | duree=19,456 s | avgCoupJ1=1499,680 ms | avgCoupJ2=132,580 ms
Combat 28 | issue=J2 | matchup=Archère vs Chevalier | tours=14 | duree=10,980 s | avgCoupJ1=1499,527 ms | avgCoupJ2=69,000 ms
Combat 29 | issue=J2 | matchup=Archère vs Archère | tours=50 | duree=39,741 s | avgCoupJ1=1499,635 ms | avgCoupJ2=89,885 ms
Combat 30 | issue=J2 | matchup=Archère vs Chevalier | tours=22 | duree=17,121 s | avgCoupJ1=1499,551 ms | avgCoupJ2=56,754 ms
